"AAU,gene:lpg4092",lpg4092
"AAU26740,gene:lpg0651",lpg0651
"AAU26741,gene:lpg0652",lpg0652
"AAU26742,gene:lpg0653",lpg0653
"AAU26743,gene:lpg0654",lpg0654
"AAU26744,gene:lpg0655",lpg0655
"AAU26745,gene:lpg0656",lpg0656
"AAU26746,gene:lpg0657",lpg0657
"AAU26747,gene:lpg0658",lpg0658
"AAU26748,gene:lpg0659",lpg0659
"AAU26749,gene:lpg0660",lpg0660
"AAU26750,gene:lpg0661",lpg0661
"AAU26751,gene:lpg0662",lpg0662
"AAU26752,gene:lpg0663",lpg0663
"AAU26753,gene:lpg0664",lpg0664
"AAU26754,gene:lpg0665",lpg0665
"AAU26755,gene:lpg0666",lpg0666
"AAU26756,gene:lpg0667",lpg0667
"AAU26757,gene:lpg0668",lpg0668
"AAU26758,gene:lpg0669",lpg0669
"AAU26759,gene:lpg0670",lpg0670
"AAU26760,gene:lpg0671",lpg0671
"AAU26761,gene:lpg0672",lpg0672
"AAU26762,gene:lpg0673",lpg0673
"AAU26763,gene:lpg0674",lpg0674
"AAU26764,gene:lpg0675",lpg0675
"AAU26765,gene:lpg0676",lpg0676
"AAU26766,gene:lpg0677",lpg0677
"AAU26767,gene:lpg0678",lpg0678
"AAU26768,gene:lpg0679",lpg0679
"AAU26769,gene:lpg0680",lpg0680
"AAU26770,gene:lpg0681",lpg0681
"AAU26771,gene:lpg0682",lpg0682
"AAU26772,gene:lpg0683",lpg0683
"AAU26773,gene:lpg0684",lpg0684
"AAU26774,gene:lpg0685",lpg0685
"AAU26775,gene:lpg0686",lpg0686
"AAU26776,gene:lpg0687",lpg0687
"AAU26777,gene:lpg0688",lpg0688
"AAU26778,gene:lpg0689",lpg0689
"AAU26779,gene:lpg0690",lpg0690
"AAU26780,gene:lpg0691",lpg0691
"AAU26781,gene:lpg0692",lpg0692
"AAU26782,gene:lpg0693",lpg0693
"AAU26783,gene:lpg0694",lpg0694
"AAU26784,gene:lpg0695",lpg0695
"AAU26785,gene:lpg0696",lpg0696
"AAU26786,gene:lpg0697",lpg0697
"AAU26787,gene:lpg0698",lpg0698
"AAU26788,gene:lpg0699",lpg0699
"AAU26789,gene:lpg0700",lpg0700
"AAU26790,gene:lpg0701",lpg0701
"AAU26791,gene:lpg0702",lpg0702
"AAU26792,gene:lpg0703",lpg0703
"AAU26793,gene:lpg0704",lpg0704
"AAU26794,gene:lpg0705",lpg0705
"AAU26795,gene:lpg0706",lpg0706
"AAU26796,gene:lpg0707",lpg0707
"AAU26797,gene:lpg0708",lpg0708
"AAU26798,gene:lpg0709",lpg0709
"AAU26799,gene:lpg0710",lpg0710
"AAU26800,gene:lpg0711",lpg0711
"AAU26801,gene:lpg0712",lpg0712
"AAU26802,gene:lpg0713",lpg0713
"AAU26803,gene:lpg0714",lpg0714
"AAU26804,gene:lpg0715",lpg0715
"AAU26805,gene:lpg0716",lpg0716
"AAU26806,gene:lpg0717",lpg0717
"AAU26807,gene:lpg0718",lpg0718
"AAU26808,gene:lpg0719",lpg0719
"AAU26809,gene:lpg0720",lpg0720
"AAU26810,gene:lpg0721",lpg0721
"AAU26811,gene:lpg0722",lpg0722
"AAU26812,gene:lpg0723",lpg0723
"AAU26813,gene:lpg0724",lpg0724
"AAU26814,gene:lpg0725",lpg0725
"AAU26815,gene:lpg0726",lpg0726
"AAU26816,gene:lpg0727",lpg0727
"AAU26817,gene:lpg0728",lpg0728
"AAU26818,gene:lpg0729",lpg0729
"AAU26819,gene:lpg0730",lpg0730
"AAU26820,gene:lpg0731",lpg0731
"AAU26821,gene:lpg0732",lpg0732
"AAU26822,gene:lpg0733",lpg0733
"AAU26823,gene:lpg0734",lpg0734
"AAU26824,gene:lpg0735",lpg0735
"AAU26825,gene:lpg0736",lpg0736
"AAU26826,gene:lpg0737",lpg0737
"AAU26827,gene:lpg0738",lpg0738
"AAU26828,gene:lpg0739",lpg0739
"AAU26829,gene:lpg0740",lpg0740
"AAU26830,gene:lpg0741",lpg0741
"AAU26831,gene:lpg0742",lpg0742
"AAU26832,gene:lpg0743",lpg0743
"AAU26833,gene:lpg0744",lpg0744
"AAU26834,gene:lpg0745",lpg0745
"AAU26835,gene:lpg0746",lpg0746
"AAU26836,gene:lpg0747",lpg0747
"AAU26837,gene:lpg0748",lpg0748
"AAU26838,gene:lpg0749",lpg0749
"AAU26839,gene:lpg0750",lpg0750
"AAU26840,gene:lpg0751",lpg0751
"AAU26841,gene:lpg0752",lpg0752
"AAU26842,gene:lpg0753",lpg0753
"AAU26843,gene:lpg0754",lpg0754
"AAU26844,gene:lpg0755",lpg0755
"AAU26845,gene:lpg0756",lpg0756
"AAU26846,gene:lpg0757",lpg0757
"AAU26847,gene:lpg0758",lpg0758
"AAU26848,gene:lpg0759",lpg0759
"AAU26849,gene:lpg0760",lpg0760
"AAU26850,gene:lpg0761",lpg0761
"AAU26851,gene:lpg0762",lpg0762
"AAU26852,gene:lpg0763",lpg0763
"AAU26853,gene:lpg0764",lpg0764
"AAU26854,gene:lpg0765",lpg0765
"AAU26855,gene:lpg0766",lpg0766
"AAU26856,gene:lpg0767",lpg0767
"AAU26857,gene:lpg0768",lpg0768
"AAU26858,gene:lpg0769",lpg0769
"AAU26859,gene:lpg0770",lpg0770
"AAU26860,gene:lpg0771",lpg0771
"AAU26861,gene:lpg0772",lpg0772
"AAU26862,gene:lpg0773",lpg0773
"AAU26863,gene:lpg0774",lpg0774
"AAU26864,gene:lpg0775",lpg0775
"AAU26865,gene:lpg0776",lpg0776
"AAU26866,gene:lpg0777",lpg0777
"AAU26867,gene:lpg0778",lpg0778
"AAU26868,gene:lpg0779",lpg0779
"AAU26869,gene:lpg0780",lpg0780
"AAU26870,gene:lpg0781",lpg0781
"AAU26871,gene:lpg0782",lpg0782
"AAU26872,gene:lpg0783",lpg0783
"AAU26873,gene:lpg0784",lpg0784
"AAU26874,gene:lpg0785",lpg0785
"AAU26875,gene:lpg0786",lpg0786
"AAU26876,gene:lpg0787",lpg0787
"AAU26877,gene:lpg0788",lpg0788
"AAU26878,gene:lpg0789",lpg0789
"AAU26879,gene:lpg0790",lpg0790
"AAU26880,gene:lpg0791",lpg0791
"AAU26881,gene:lpg0792",lpg0792
"AAU26882,gene:lpg0793",lpg0793
"AAU26883,gene:lpg0794",lpg0794
"AAU26884,gene:lpg0795",lpg0795
"AAU26885,gene:lpg0796",lpg0796
"AAU26886,gene:lpg0798",lpg0798
"AAU26887,gene:lpg0799",lpg0799
"AAU26888,gene:lpg0800",lpg0800
"AAU26889,gene:lpg0801",lpg0801
"AAU26890,gene:lpg0802",lpg0802
"AAU26891,gene:lpg0803",lpg0803
"AAU26892,gene:lpg0804",lpg0804
"AAU26893,gene:lpg0805",lpg0805
"AAU26894,gene:lpg0806",lpg0806
"AAU26895,gene:lpg0807",lpg0807
"AAU26896,gene:lpg0808",lpg0808
"AAU26897,gene:lpg0809",lpg0809
"AAU26898,gene:lpg0810",lpg0810
"AAU26899,gene:lpg0811",lpg0811
"AAU26900,gene:lpg0812",lpg0812
"AAU26901,gene:lpg0813",lpg0813
"AAU26902,gene:lpg0814",lpg0814
"AAU26903,gene:lpg0815",lpg0815
"AAU26904,gene:lpg0816",lpg0816
"AAU26905,gene:lpg0817",lpg0817
"AAU26906,gene:lpg0818",lpg0818
"AAU26907,gene:lpg0819",lpg0819
"AAU26908,gene:lpg0820",lpg0820
"AAU26909,gene:lpg0821",lpg0821
"AAU26910,gene:lpg0822",lpg0822
"AAU26911,gene:lpg0823",lpg0823
"AAU26912,gene:lpg0824",lpg0824
"AAU26913,gene:lpg0825",lpg0825
"AAU26914,gene:lpg0826",lpg0826
"AAU26915,gene:lpg0827",lpg0827
"AAU26916,gene:lpg0828",lpg0828
"AAU26917,gene:lpg0829",lpg0829
"AAU26918,gene:lpg0830",lpg0830
"AAU26919,gene:lpg0831",lpg0831
"AAU26920,gene:lpg0832",lpg0832
"AAU26921,gene:lpg0833",lpg0833
"AAU26922,gene:lpg0834",lpg0834
"AAU26923,gene:lpg0835",lpg0835
"AAU26924,gene:lpg0836",lpg0836
"AAU26925,gene:lpg0837",lpg0837
"AAU26926,gene:lpg0838",lpg0838
"AAU26927,gene:lpg0839",lpg0839
"AAU26928,gene:lpg0840",lpg0840
"AAU26929,gene:lpg0841",lpg0841
"AAU26930,gene:lpg0842",lpg0842
"AAU26931,gene:lpg0843",lpg0843
"AAU26932,gene:lpg0844",lpg0844
"AAU26933,gene:lpg0845",lpg0845
"AAU26934,gene:lpg0846",lpg0846
"AAU26935,gene:lpg0847",lpg0847
"AAU26936,gene:lpg0848",lpg0848
"AAU26937,gene:lpg0849",lpg0849
"AAU26938,gene:lpg0850",lpg0850
"AAU26939,gene:lpg0851",lpg0851
"AAU26940,gene:lpg0852",lpg0852
"AAU26941,gene:lpg0853",lpg0853
"AAU26942,gene:lpg0854",lpg0854
"AAU26943,gene:lpg0855",lpg0855
"AAU26944,gene:lpg0856",lpg0856
"AAU26945,gene:lpg0857",lpg0857
"AAU26946,gene:lpg0858",lpg0858
"AAU26947,gene:lpg0859",lpg0859
"AAU26948,gene:lpg0860",lpg0860
"AAU26949,gene:lpg0861",lpg0861
"AAU26950,gene:lpg0862",lpg0862
"AAU26951,gene:lpg0863",lpg0863
"AAU26952,gene:lpg0864",lpg0864
"AAU26953,gene:lpg0865",lpg0865
"AAU26954,gene:lpg0866",lpg0866
"AAU26955,gene:lpg0867",lpg0867
"AAU26956,gene:lpg0868",lpg0868
"AAU26957,gene:lpg0869",lpg0869
"AAU26958,gene:lpg0870",lpg0870
"AAU26959,gene:lpg0871",lpg0871
"AAU26960,gene:lpg0872",lpg0872
"AAU26961,gene:lpg0873",lpg0873
"AAU26962,gene:lpg0874",lpg0874
"AAU26963,gene:lpg0875",lpg0875
"AAU26964,gene:lpg0876",lpg0876
"AAU26965,gene:lpg0877",lpg0877
"AAU26966,gene:lpg0878",lpg0878
"AAU26967,gene:lpg0879",lpg0879
"AAU26968,gene:lpg0880",lpg0880
"AAU26969,gene:lpg0882",lpg0882
"AAU26970,gene:lpg0883",lpg0883
"AAU26971,gene:lpg0884",lpg0884
"AAU26972,gene:lpg0885",lpg0885
"AAU26973,gene:lpg0886",lpg0886
"AAU26974,gene:lpg0887",lpg0887
"AAU26975,gene:lpg0888",lpg0888
"AAU26976,gene:lpg0889",lpg0889
"AAU26977,gene:lpg0890",lpg0890
"AAU26978,gene:lpg0891",lpg0891
"AAU26979,gene:lpg0892",lpg0892
"AAU26980,gene:lpg0893",lpg0893
"AAU26981,gene:lpg0894",lpg0894
"AAU26982,gene:lpg0895",lpg0895
"AAU26983,gene:lpg0896",lpg0896
"AAU26984,gene:lpg0897",lpg0897
"AAU26985,gene:lpg0898",lpg0898
"AAU26986,gene:lpg0899",lpg0899
"AAU26987,gene:lpg0900",lpg0900
"AAU26988,gene:lpg0901",lpg0901
"AAU26989,gene:lpg0902",lpg0902
"AAU26990,gene:lpg0903",lpg0903
"AAU26991,gene:lpg0904",lpg0904
"AAU26992,gene:lpg0905",lpg0905
"AAU26993,gene:lpg0906",lpg0906
"AAU26994,gene:lpg0907",lpg0907
"AAU26995,gene:lpg0908",lpg0908
"AAU26996,gene:lpg0909",lpg0909
"AAU26997,gene:lpg0910",lpg0910
"AAU26998,gene:lpg0911",lpg0911
"AAU26999,gene:lpg0912",lpg0912
"AAU27000,gene:lpg0913",lpg0913
"AAU27001,gene:lpg0914",lpg0914
"AAU27002,gene:lpg0915",lpg0915
"AAU27003,gene:lpg0916",lpg0916
"AAU27004,gene:lpg0917",lpg0917
"AAU27005,gene:lpg0918",lpg0918
"AAU27006,gene:lpg0919",lpg0919
"AAU27007,gene:lpg0920",lpg0920
"AAU27008,gene:lpg0921",lpg0921
"AAU27009,gene:lpg0922",lpg0922
"AAU27010,gene:lpg0923",lpg0923
"AAU27011,gene:lpg0924",lpg0924
"AAU27012,gene:lpg0925",lpg0925
"AAU27013,gene:lpg0926",lpg0926
"AAU27014,gene:lpg0927",lpg0927
"AAU27015,gene:lpg0928",lpg0928
"AAU27016,gene:lpg0929",lpg0929
"AAU27017,gene:lpg0930",lpg0930
"AAU27018,gene:lpg0931",lpg0931
"AAU27019,gene:lpg0932",lpg0932
"AAU27020,gene:lpg0933",lpg0933
"AAU27021,gene:lpg0934",lpg0934
"AAU27022,gene:lpg0935",lpg0935
"AAU27023,gene:lpg0936",lpg0936
"AAU27024,gene:lpg0937",lpg0937
"AAU27025,gene:lpg0938",lpg0938
"AAU27026,gene:lpg0939",lpg0939
"AAU27027,gene:lpg0940",lpg0940
"AAU27028,gene:lpg0941",lpg0941
"AAU27029,gene:lpg0942",lpg0942
"AAU27030,gene:lpg0943",lpg0943
"AAU27031,gene:lpg0944",lpg0944
"AAU27032,gene:lpg0945",lpg0945
"AAU27033,gene:lpg0946",lpg0946
"AAU27034,gene:lpg0947",lpg0947
"AAU27035,gene:lpg0948",lpg0948
"AAU27036,gene:lpg0949",lpg0949
"AAU27037,gene:lpg0950",lpg0950
"AAU27038,gene:lpg0951",lpg0951
"AAU27039,gene:lpg0952",lpg0952
"AAU27040,gene:lpg0953",lpg0953
"AAU27041,gene:lpg0954",lpg0954
"AAU27042,gene:lpg0955",lpg0955
"AAU27043,gene:lpg0956",lpg0956
"AAU27044,gene:lpg0957",lpg0957
"AAU27045,gene:lpg0958",lpg0958
"AAU27046,gene:lpg0959",lpg0959
"AAU27047,gene:lpg0960",lpg0960
"AAU27048,gene:lpg0961",lpg0961
"AAU27049,gene:lpg0962",lpg0962
"AAU27050,gene:lpg0963",lpg0963
"AAU27051,gene:lpg0964",lpg0964
"AAU27052,gene:lpg0965",lpg0965
"AAU27053,gene:lpg0966",lpg0966
"AAU27054,gene:lpg0967",lpg0967
"AAU27055,gene:lpg0968",lpg0968
"AAU27056,gene:lpg0969",lpg0969
"AAU27057,gene:lpg0970",lpg0970
"AAU27058,gene:lpg0971",lpg0971
"AAU27059,gene:lpg0973",lpg0973
"AAU27060,gene:lpg0974",lpg0974
"AAU27061,gene:lpg0975",lpg0975
"AAU27062,gene:lpg0976",lpg0976
"AAU27063,gene:lpg0977",lpg0977
"AAU27064,gene:lpg0978",lpg0978
"AAU27065,gene:lpg0979",lpg0979
"AAU27066,gene:lpg0980",lpg0980
"AAU27067,gene:lpg0981",lpg0981
"AAU27068,gene:lpg0982",lpg0982
"AAU27069,gene:lpg0983",lpg0983
"AAU27070,gene:lpg0984",lpg0984
"AAU27071,gene:lpg0985",lpg0985
"AAU27072,gene:lpg0986",lpg0986
"AAU27073,gene:lpg0987",lpg0987
"AAU27074,gene:lpg0988",lpg0988
"AAU27075,gene:lpg0989",lpg0989
"AAU27076,gene:lpg0990",lpg0990
"AAU27077,gene:lpg0991",lpg0991
"AAU27078,gene:lpg0992",lpg0992
"AAU27079,gene:lpg0993",lpg0993
"AAU27080,gene:lpg0994",lpg0994
"AAU27081,gene:lpg0995",lpg0995
"AAU27082,gene:lpg0996",lpg0996
"AAU27083,gene:lpg0997",lpg0997
"AAU27084,gene:lpg0998",lpg0998
"AAU27085,gene:lpg0999",lpg0999
"AAU27086,gene:lpg1000",lpg1000
"AAU27087,gene:lpg1001",lpg1001
"AAU27088,gene:lpg1002",lpg1002
"AAU27089,gene:lpg1003",lpg1003
"AAU27090,gene:lpg1004",lpg1004
"AAU27091,gene:lpg1005",lpg1005
"AAU27092,gene:lpg1006",lpg1006
"AAU27093,gene:lpg1007",lpg1007
"AAU27094,gene:lpg1008",lpg1008
"AAU27095,gene:lpg1009",lpg1009
"AAU27096,gene:lpg1010",lpg1010
"AAU27097,gene:lpg1011",lpg1011
"AAU27098,gene:lpg1012",lpg1012
"AAU27099,gene:lpg1013",lpg1013
"AAU27100,gene:lpg1014",lpg1014
"AAU27101,gene:lpg1015",lpg1015
"AAU27102,gene:lpg1016",lpg1016
"AAU27103,gene:lpg1017",lpg1017
"AAU27104,gene:lpg1018",lpg1018
"AAU27105,gene:lpg1019",lpg1019
"AAU27106,gene:lpg1020",lpg1020
"AAU27107,gene:lpg1021",lpg1021
"AAU27108,gene:lpg1022",lpg1022
"AAU27109,gene:lpg1023",lpg1023
"AAU27110,gene:lpg1024",lpg1024
"AAU27111,gene:lpg1025",lpg1025
"AAU27112,gene:lpg1026",lpg1026
"AAU27113,gene:lpg1027",lpg1027
"AAU27114,gene:lpg1028",lpg1028
"AAU27115,gene:lpg1029",lpg1029
"AAU27116,gene:lpg1030",lpg1030
"AAU27117,gene:lpg1031",lpg1031
"AAU27118,gene:lpg1032",lpg1032
"AAU27119,gene:lpg1033",lpg1033
"AAU27120,gene:lpg1034",lpg1034
"AAU27121,gene:lpg1035",lpg1035
"AAU27122,gene:lpg1036",lpg1036
"AAU27123,gene:lpg1037",lpg1037
"AAU27124,gene:lpg1038",lpg1038
"AAU27125,gene:lpg1039",lpg1039
"AAU27126,gene:lpg1040",lpg1040
"AAU27127,gene:lpg1041",lpg1041
"AAU27128,gene:lpg1042",lpg1042
"AAU27129,gene:lpg1043",lpg1043
"AAU27130,gene:lpg1044",lpg1044
"AAU27131,gene:lpg1045",lpg1045
"AAU27132,gene:lpg1046",lpg1046
"AAU27133,gene:lpg1047",lpg1047
"AAU27134,gene:lpg1048",lpg1048
"AAU27135,gene:lpg1049",lpg1049
"AAU27136,gene:lpg1050",lpg1050
"AAU27137,gene:lpg1051",lpg1051
"AAU27138,gene:lpg1052",lpg1052
"AAU27139,gene:lpg1053",lpg1053
"AAU27140,gene:lpg1054",lpg1054
"AAU27141,gene:lpg1055",lpg1055
"AAU27142,gene:lpg1056",lpg1056
"AAU27143,gene:lpg1057",lpg1057
"AAU27144,gene:lpg1058",lpg1058
"AAU27145,gene:lpg1059",lpg1059
"AAU27146,gene:lpg1060",lpg1060
"AAU27147,gene:lpg1061",lpg1061
"AAU27148,gene:lpg1062",lpg1062
"AAU27149,gene:lpg1063",lpg1063
"AAU27150,gene:lpg1064",lpg1064
"AAU27151,gene:lpg1065",lpg1065
"AAU27152,gene:lpg1066",lpg1066
"AAU27153,gene:lpg1067",lpg1067
"AAU27154,gene:lpg1068",lpg1068
"AAU27155,gene:lpg1069",lpg1069
"AAU27156,gene:lpg1070",lpg1070
"AAU27157,gene:lpg1071",lpg1071
"AAU27158,gene:lpg1072",lpg1072
"AAU27159,gene:lpg1073",lpg1073
"AAU27160,gene:lpg1074",lpg1074
"AAU27161,gene:lpg1075",lpg1075
"AAU27162,gene:lpg1076",lpg1076
"AAU27163,gene:lpg1077",lpg1077
"AAU27164,gene:lpg1078",lpg1078
"AAU27165,gene:lpg1079",lpg1079
"AAU27166,gene:lpg1080",lpg1080
"AAU27167,gene:lpg1081",lpg1081
"AAU27168,gene:lpg1082",lpg1082
"AAU27169,gene:lpg1083",lpg1083
"AAU27170,gene:lpg1084",lpg1084
"AAU27171,gene:lpg1085",lpg1085
"AAU27172,gene:lpg1086",lpg1086
"AAU27173,gene:lpg1087",lpg1087
"AAU27174,gene:lpg1088",lpg1088
"AAU27175,gene:lpg1089",lpg1089
"AAU27176,gene:lpg1090",lpg1090
"AAU27177,gene:lpg1091",lpg1091
"AAU27178,gene:lpg1092",lpg1092
"AAU27179,gene:lpg1093",lpg1093
"AAU27180,gene:lpg1094",lpg1094
"AAU27181,gene:lpg1095",lpg1095
"AAU27182,gene:lpg1096",lpg1096
"AAU27183,gene:lpg1097",lpg1097
"AAU27184,gene:lpg1098",lpg1098
"AAU27185,gene:lpg1099",lpg1099
"AAU27186,gene:lpg1100",lpg1100
"AAU27187,gene:lpg1101",lpg1101
"AAU27188,gene:lpg1102",lpg1102
"AAU27189,gene:lpg1103",lpg1103
"AAU27190,gene:lpg1104",lpg1104
"AAU27191,gene:lpg1105",lpg1105
"AAU27192,gene:lpg1106",lpg1106
"AAU27193,gene:lpg1107",lpg1107
"AAU27194,gene:lpg1108",lpg1108
"AAU27195,gene:lpg1109",lpg1109
"AAU27196,gene:lpg1110",lpg1110
"AAU27197,gene:lpg1111",lpg1111
"AAU27198,gene:lpg1112",lpg1112
"AAU27199,gene:lpg1113",lpg1113
"AAU27200,gene:lpg1114",lpg1114
"AAU27201,gene:lpg1115",lpg1115
"AAU27202,gene:lpg1116",lpg1116
"AAU27203,gene:lpg1117",lpg1117
"AAU27204,gene:lpg1118",lpg1118
"AAU27205,gene:lpg1119",lpg1119
"AAU27206,gene:lpg1120",lpg1120
"AAU27207,gene:lpg1121",lpg1121
"AAU27208,gene:lpg1122",lpg1122
"AAU27209,gene:lpg1123",lpg1123
"AAU27210,gene:lpg1124",lpg1124
"AAU27211,gene:lpg1125",lpg1125
"AAU27212,gene:lpg1126",lpg1126
"AAU27213,gene:lpg1127",lpg1127
"AAU27214,gene:lpg1128",lpg1128
"AAU27215,gene:lpg1129",lpg1129
"AAU27216,gene:lpg1130",lpg1130
"AAU27217,gene:lpg1131",lpg1131
"AAU27218,gene:lpg1132",lpg1132
"AAU27219,gene:lpg1133",lpg1133
"AAU27220,gene:lpg1134",lpg1134
"AAU27221,gene:lpg1135",lpg1135
"AAU27222,gene:lpg1136",lpg1136
"AAU27223,gene:lpg1137",lpg1137
"AAU27224,gene:lpg1138",lpg1138
"AAU27225,gene:lpg1139",lpg1139
"AAU27226,gene:lpg1140",lpg1140
"AAU27227,gene:lpg1141",lpg1141
"AAU27228,gene:lpg1142",lpg1142
"AAU27229,gene:lpg1143",lpg1143
"AAU27230,gene:lpg1144",lpg1144
"AAU27231,gene:lpg1145",lpg1145
"AAU27232,gene:lpg1146",lpg1146
"AAU27233,gene:lpg1147",lpg1147
"AAU27234,gene:lpg1148",lpg1148
"AAU27235,gene:lpg1149",lpg1149
"AAU27236,gene:lpg1150",lpg1150
"AAU27237,gene:lpg1151",lpg1151
"AAU27238,gene:lpg1152",lpg1152
"AAU27239,gene:lpg1153",lpg1153
"AAU27240,gene:lpg1154",lpg1154
"AAU27241,gene:lpg1155",lpg1155
"AAU27242,gene:lpg1156",lpg1156
"AAU27243,gene:lpg1157",lpg1157
"AAU27244,gene:lpg1158",lpg1158
"AAU27245,gene:lpg1159",lpg1159
"AAU27246,gene:lpg1160",lpg1160
"AAU27247,gene:lpg1161",lpg1161
"AAU27248,gene:lpg1162",lpg1162
"AAU27249,gene:lpg1163",lpg1163
"AAU27250,gene:lpg1164",lpg1164
"AAU27251,gene:lpg1165",lpg1165
"AAU27252,gene:lpg1166",lpg1166
"AAU27253,gene:lpg1167",lpg1167
"AAU27254,gene:lpg1168",lpg1168
"AAU27255,gene:lpg1169",lpg1169
"AAU27256,gene:lpg1170",lpg1170
"AAU27257,gene:lpg1171",lpg1171
"AAU27258,gene:lpg1172",lpg1172
"AAU27259,gene:lpg1173",lpg1173
"AAU27260,gene:lpg1174",lpg1174
"AAU27261,gene:lpg1175",lpg1175
"AAU27262,gene:lpg1176",lpg1176
"AAU27263,gene:lpg1177",lpg1177
"AAU27264,gene:lpg1178",lpg1178
"AAU27265,gene:lpg1179",lpg1179
"AAU27266,gene:lpg1180",lpg1180
"AAU27267,gene:lpg1181",lpg1181
"AAU27268,gene:lpg1182",lpg1182
"AAU27269,gene:lpg1183",lpg1183
"AAU27270,gene:lpg1184",lpg1184
"AAU27271,gene:lpg1186",lpg1186
"AAU27272,gene:lpg1187",lpg1187
"AAU27273,gene:lpg1188",lpg1188
"AAU27274,gene:lpg1189",lpg1189
"AAU27275,gene:lpg1190",lpg1190
"AAU27276,gene:lpg1191",lpg1191
"AAU27277,gene:lpg1192",lpg1192
"AAU27278,gene:lpg1193",lpg1193
"AAU27279,gene:lpg1194",lpg1194
"AAU27280,gene:lpg1195",lpg1195
"AAU27281,gene:lpg1196",lpg1196
"AAU27282,gene:lpg1197",lpg1197
"AAU27283,gene:lpg1198",lpg1198
"AAU27284,gene:lpg1199",lpg1199
"AAU27285,gene:lpg1200",lpg1200
"AAU27286,gene:lpg1202",lpg1202
"AAU27287,gene:lpg1203",lpg1203
"AAU27288,gene:lpg1204",lpg1204
"AAU27289,gene:lpg1205",lpg1205
"AAU27290,gene:lpg1206",lpg1206
"AAU27291,gene:lpg1207",lpg1207
"AAU27292,gene:lpg1208",lpg1208
"AAU27293,gene:lpg1209",lpg1209
"AAU27294,gene:lpg1210",lpg1210
"AAU27295,gene:lpg1211",lpg1211
"AAU27296,gene:lpg1212",lpg1212
"AAU27297,gene:lpg1213",lpg1213
"AAU27298,gene:lpg1214",lpg1214
"AAU27299,gene:lpg1215",lpg1215
"AAU27300,gene:lpg1216",lpg1216
"AAU27301,gene:lpg1217",lpg1217
"AAU27302,gene:lpg1218",lpg1218
"AAU27303,gene:lpg1219",lpg1219
"AAU27304,gene:lpg1220",lpg1220
"AAU27305,gene:lpg1221",lpg1221
"AAU27306,gene:lpg1222",lpg1222
"AAU27307,gene:lpg1223",lpg1223
"AAU27308,gene:lpg1224",lpg1224
"AAU27309,gene:lpg1225",lpg1225
"AAU27310,gene:lpg1226",lpg1226
"AAU27311,gene:lpg1227",lpg1227
"AAU27312,gene:lpg1228",lpg1228
"AAU27313,gene:lpg1229",lpg1229
"AAU27314,gene:lpg1230",lpg1230
"AAU27315,gene:lpg1231",lpg1231
"AAU27316,gene:lpg1232",lpg1232
"AAU27317,gene:lpg1233",lpg1233
"AAU27318,gene:lpg1234",lpg1234
"AAU27319,gene:lpg1235",lpg1235
"AAU27320,gene:lpg1236",lpg1236
"AAU27321,gene:lpg1237",lpg1237
"AAU27322,gene:lpg1238",lpg1238
"AAU27323,gene:lpg1239",lpg1239
"AAU27324,gene:lpg1240",lpg1240
"AAU27325,gene:lpg1241",lpg1241
"AAU27326,gene:lpg1242",lpg1242
"AAU27327,gene:lpg1243",lpg1243
"AAU27328,gene:lpg1244",lpg1244
"AAU27329,gene:lpg1245",lpg1245
"AAU27330,gene:lpg1246",lpg1246
"AAU27331,gene:lpg1247",lpg1247
"AAU27332,gene:lpg1248",lpg1248
"AAU27333,gene:lpg1249",lpg1249
"AAU27334,gene:lpg1250",lpg1250
"AAU27335,gene:lpg1251",lpg1251
"AAU27336,gene:lpg1252",lpg1252
"AAU27337,gene:lpg1253",lpg1253
"AAU27338,gene:lpg1254",lpg1254
"AAU27339,gene:lpg1255",lpg1255
"AAU27340,gene:lpg1256",lpg1256
"AAU27341,gene:lpg1257",lpg1257
"AAU27342,gene:lpg1258",lpg1258
"AAU27343,gene:lpg1259",lpg1259
"AAU27344,gene:lpg1260",lpg1260
"AAU27345,gene:lpg1261",lpg1261
"AAU27346,gene:lpg1262",lpg1262
"AAU27347,gene:lpg1263",lpg1263
"AAU27348,gene:lpg1264",lpg1264
"AAU27349,gene:lpg1265",lpg1265
"AAU27350,gene:lpg1266",lpg1266
"AAU27351,gene:lpg1267",lpg1267
"AAU27352,gene:lpg1268",lpg1268
"AAU27353,gene:lpg1269",lpg1269
"AAU27354,gene:lpg1270",lpg1270
"AAU27355,gene:lpg1271",lpg1271
"AAU27356,gene:lpg1273",lpg1273
"AAU27357,gene:lpg1274",lpg1274
"AAU27358,gene:lpg1275",lpg1275
"AAU27359,gene:lpg1276",lpg1276
"AAU27360,gene:lpg1277",lpg1277
"AAU27361,gene:lpg1278",lpg1278
"AAU27362,gene:lpg1279",lpg1279
"AAU27363,gene:lpg1280",lpg1280
"AAU27364,gene:lpg1281",lpg1281
"AAU27365,gene:lpg1282",lpg1282
"AAU27366,gene:lpg1283",lpg1283
"AAU27367,gene:lpg1284",lpg1284
"AAU27368,gene:lpg1285",lpg1285
"AAU27369,gene:lpg1286",lpg1286
"AAU27370,gene:lpg1287",lpg1287
"AAU27371,gene:lpg1288",lpg1288
"AAU27372,gene:lpg1289",lpg1289
"AAU27373,gene:lpg1290",lpg1290
"AAU27374,gene:lpg1291",lpg1291
