"AAU,gene:lpg4092",lpg4092
"AAU26253,gene:lpg0146",lpg0146
"AAU26254,gene:lpg0147",lpg0147
"AAU26255,gene:lpg0148",lpg0148
"AAU26256,gene:lpg0149",lpg0149
"AAU26257,gene:lpg0150",lpg0150
"AAU26258,gene:lpg0151",lpg0151
"AAU26259,gene:lpg0152",lpg0152
"AAU26260,gene:lpg0153",lpg0153
"AAU26261,gene:lpg0154",lpg0154
"AAU26262,gene:lpg0155",lpg0155
"AAU26263,gene:lpg0156",lpg0156
"AAU26264,gene:lpg0157",lpg0157
"AAU26265,gene:lpg0158",lpg0158
"AAU26266,gene:lpg0159",lpg0159
"AAU26267,gene:lpg0160",lpg0160
"AAU26268,gene:lpg0161",lpg0161
"AAU26269,gene:lpg0162",lpg0162
"AAU26270,gene:lpg0163",lpg0163
"AAU26271,gene:lpg0164",lpg0164
"AAU26272,gene:lpg0165",lpg0165
"AAU26273,gene:lpg0166",lpg0166
"AAU26274,gene:lpg0167",lpg0167
"AAU26275,gene:lpg0168",lpg0168
"AAU26276,gene:lpg0169",lpg0169
"AAU26277,gene:lpg0170",lpg0170
"AAU26278,gene:lpg0171",lpg0171
"AAU26279,gene:lpg0172",lpg0172
"AAU26280,gene:lpg0173",lpg0173
"AAU26281,gene:lpg0174",lpg0174
"AAU26282,gene:lpg0175",lpg0175
"AAU26283,gene:lpg0176",lpg0176
"AAU26284,gene:lpg0177",lpg0177
"AAU26285,gene:lpg0178",lpg0178
"AAU26286,gene:lpg0179",lpg0179
"AAU26287,gene:lpg0180",lpg0180
"AAU26288,gene:lpg0181",lpg0181
"AAU26289,gene:lpg0182",lpg0182
"AAU26290,gene:lpg0183",lpg0183
"AAU26291,gene:lpg0184",lpg0184
"AAU26292,gene:lpg0185",lpg0185
"AAU26293,gene:lpg0186",lpg0186
"AAU26294,gene:lpg0187",lpg0187
"AAU26295,gene:lpg0188",lpg0188
"AAU26296,gene:lpg0189",lpg0189
"AAU26297,gene:lpg0190",lpg0190
"AAU26298,gene:lpg0191",lpg0191
"AAU26299,gene:lpg0192",lpg0192
"AAU26300,gene:lpg0193",lpg0193
"AAU26301,gene:lpg0194",lpg0194
"AAU26302,gene:lpg0195",lpg0195
"AAU26303,gene:lpg0196",lpg0196
"AAU26304,gene:lpg0197",lpg0197
"AAU26305,gene:lpg0198",lpg0198
"AAU26306,gene:lpg0199",lpg0199
"AAU26307,gene:lpg0200",lpg0200
"AAU26308,gene:lpg0201",lpg0201
"AAU26309,gene:lpg0202",lpg0202
"AAU26310,gene:lpg0203",lpg0203
"AAU26311,gene:lpg0204",lpg0204
"AAU26312,gene:lpg0205",lpg0205
"AAU26313,gene:lpg0206",lpg0206
"AAU26314,gene:lpg0207",lpg0207
"AAU26315,gene:lpg0208",lpg0208
"AAU26316,gene:lpg0209",lpg0209
"AAU26317,gene:lpg0210",lpg0210
"AAU26318,gene:lpg0211",lpg0211
"AAU26319,gene:lpg0212",lpg0212
"AAU26320,gene:lpg0213",lpg0213
"AAU26321,gene:lpg0214",lpg0214
"AAU26322,gene:lpg0215",lpg0215
"AAU26323,gene:lpg0216",lpg0216
"AAU26324,gene:lpg0217",lpg0217
"AAU26325,gene:lpg0218",lpg0218
"AAU26326,gene:lpg0219",lpg0219
"AAU26327,gene:lpg0220",lpg0220
"AAU26328,gene:lpg0221",lpg0221
"AAU26329,gene:lpg0222",lpg0222
"AAU26330,gene:lpg0223",lpg0223
"AAU26331,gene:lpg0224",lpg0224
"AAU26332,gene:lpg0225",lpg0225
"AAU26333,gene:lpg0226",lpg0226
"AAU26334,gene:lpg0227",lpg0227
"AAU26335,gene:lpg0228",lpg0228
"AAU26336,gene:lpg0229",lpg0229
"AAU26337,gene:lpg0230",lpg0230
"AAU26338,gene:lpg0231",lpg0231
"AAU26339,gene:lpg0232",lpg0232
"AAU26340,gene:lpg0233",lpg0233
"AAU26341,gene:lpg0234",lpg0234
"AAU26342,gene:lpg0235",lpg0235
"AAU26343,gene:lpg0236",lpg0236
"AAU26344,gene:lpg0237",lpg0237
"AAU26345,gene:lpg0238",lpg0238
"AAU26346,gene:lpg0239",lpg0239
"AAU26347,gene:lpg0240",lpg0240
"AAU26348,gene:lpg0241",lpg0241
"AAU26349,gene:lpg0242",lpg0242
"AAU26350,gene:lpg0243",lpg0243
"AAU26351,gene:lpg0244",lpg0244
"AAU26352,gene:lpg0245",lpg0245
"AAU26353,gene:lpg0246",lpg0246
"AAU26354,gene:lpg0247",lpg0247
"AAU26355,gene:lpg0248",lpg0248
"AAU26356,gene:lpg0249",lpg0249
"AAU26357,gene:lpg0250",lpg0250
"AAU26358,gene:lpg0251",lpg0251
"AAU26359,gene:lpg0252",lpg0252
"AAU26360,gene:lpg0253",lpg0253
"AAU26361,gene:lpg0254",lpg0254
"AAU26362,gene:lpg0255",lpg0255
"AAU26363,gene:lpg0256",lpg0256
"AAU26364,gene:lpg0257",lpg0257
"AAU26365,gene:lpg0258",lpg0258
"AAU26366,gene:lpg0259",lpg0259
"AAU26367,gene:lpg0260",lpg0260
"AAU26368,gene:lpg0261",lpg0261
"AAU26369,gene:lpg0262",lpg0262
"AAU26370,gene:lpg0263",lpg0263
"AAU26371,gene:lpg0264",lpg0264
"AAU26372,gene:lpg0265",lpg0265
"AAU26373,gene:lpg0266",lpg0266
"AAU26374,gene:lpg0267",lpg0267
"AAU26375,gene:lpg0268",lpg0268
"AAU26376,gene:lpg0269",lpg0269
"AAU26377,gene:lpg0270",lpg0270
"AAU26378,gene:lpg0271",lpg0271
"AAU26379,gene:lpg0272",lpg0272
"AAU26380,gene:lpg0273",lpg0273
